ContractId,Age,Gender,Children,Profession,"Customer Type","Multiple cars","Driving Licence Years","Car category","Annual Kilometers",Gearbox,Fuel
1,55,Woman,4+,Retired,Agency,No,14,Saloon,24074,Automatic,Diesel
2,58,Man,1,Unemployed,Agency,No,13,Sport,19328,Manual,Diesel
3,26,Woman,4+,Independant,Agency,No,3,Sport,21141,Automatic,Diesel
4,47,Woman,1,Unemployed,Agency,No,22,Estate,41040,Manual,Petrol
5,54,Woman,2,"Private Sector - Manager",On-line,No,18,Estate,31620,Manual,Diesel
6,78,Man,4+,"Public Sector - Manager",Agency,No,18,Estate,17837,Manual,Diesel
7,39,Man,2,Independant,On-line,No,21,Saloon,20065,Automatic,Diesel
8,43,Woman,2,Retired,Agency,No,11,Saloon,35688,Automatic,Diesel
9,51,Woman,0,"Private Sector - Employee",Agency,Yes,20,Sport,24503,Manual,Diesel
10,42,Woman,0,"Public Sector - Manager",Agency,Yes,18,Estate,24053,Manual,Diesel
11,52,Woman,1,Student,Agency,Yes,18,Estate,27859,Automatic,Diesel
13,38,Man,3,"Public Sector - Director",Agency,No,20,Sport,21000,Automatic,Diesel
15,20,Woman,2,Independant,Agency,No,2,Saloon,19898,Automatic,Diesel
16,36,Man,0,Independant,Agency,No,18,Sport,22955,Manual,Diesel
17,46,Man,2,Independant,On-line,No,7,Saloon,18803,Manual,Petrol
18,43,Man,0,"Private Sector - Employee",Agency,Yes,13,Saloon,21278,Automatic,Diesel
22,73,Man,4+,"Private Sector - Director",Agency,No,19,Estate,23840,Automatic,Petrol
24,72,Man,1,"Public Sector - Director",Agency,No,15,Sport,19236,Manual,Petrol
25,51,Man,2,Retired,Agency,No,17,Saloon,52001,Automatic,Petrol
26,26,Man,1,"Private Sector - Employee",On-line,No,8,Saloon,14524,Automatic,Petrol
27,54,Woman,0,Government,Agency,No,9,Sport,25546,Manual,Diesel
29,26,Man,2,Independant,Agency,No,8,Saloon,21365,Automatic,Petrol
31,70,Woman,4+,"Public Sector - Manager",Agency,No,21,Sport,26608,Manual,Diesel
32,57,Man,4+,"Private Sector - Employee",On-line,No,14,Saloon,37656,Automatic,Diesel
33,38,Woman,2,Student,Agency,No,11,Sport,19971,Automatic,Diesel
34,47,Man,2,"Private Sector - Manager",On-line,No,12,Estate,20428,Manual,Petrol
35,55,Man,0,Independant,On-line,Yes,8,Estate,40589,Automatic,Diesel
36,54,Woman,1,"Private Sector - Director",Agency,No,15,Estate,9710,Manual,Diesel
37,53,Man,2,Independant,Agency,Yes,5,Sport,26288,Manual,Petrol
38,83,Man,4+,Independant,Agency,No,13,Estate,33856,Automatic,Diesel
39,25,Man,4+,"Private Sector - Director",Agency,No,7,Saloon,13183,Automatic,Diesel
40,56,Man,1,Independant,Agency,No,14,Saloon,17741,Automatic,Diesel
41,54,Woman,2,"Public Sector - Director",Agency,No,19,Sport,48351,Automatic,Diesel
42,78,Man,0,Student,On-line,Yes,19,Saloon,37625,Automatic,Diesel
43,59,Man,2,"Private Sector - Employee",On-line,Yes,19,Estate,16191,Manual,Petrol
44,75,Man,4+,"Public Sector - Employee",Agency,Yes,4,Saloon,18688,Automatic,Diesel
45,40,Man,4+,"Private Sector - Employee",Agency,No,16,Saloon,34814,Automatic,Diesel
46,21,Woman,2,Unemployed,Agency,Yes,3,Saloon,39791,Automatic,Petrol
48,66,Woman,0,Retired,Agency,Yes,18,Estate,26830,Automatic,Diesel
49,25,Woman,1,"Public Sector - Director",Agency,No,7,Estate,25235,Automatic,Diesel
50,55,Woman,4+,Student,Agency,Yes,14,Sport,30189,Automatic,Petrol
51,53,Man,1,Student,On-line,No,12,Saloon,35683,Automatic,Diesel
53,55,Man,1,Student,Agency,Yes,21,Saloon,18550,Manual,Diesel
55,20,Man,1,"Private Sector - Director",On-line,No,2,Saloon,16763,Automatic,Diesel
56,36,Man,1,Independant,On-line,No,7,Estate,21494,Automatic,Petrol
57,27,Woman,2,Retired,Agency,No,9,Estate,20177,Manual,Petrol
58,68,Woman,2,"Public Sector - Manager",Agency,No,5,Sport,26839,Automatic,Petrol
59,50,Man,4+,"Private Sector - Director",On-line,No,12,Estate,20091,Automatic,Diesel
60,56,Man,3,Independant,Agency,No,11,Sport,18844,Automatic,Diesel
61,26,Man,4+,"Private Sector - Director",Agency,No,7,Sport,25453,Automatic,Petrol
62,42,Woman,4+,Independant,On-line,No,16,Sport,28603,Automatic,Diesel
63,45,Woman,0,"Private Sector - Employee",Agency,No,21,Estate,10306,Automatic,Diesel
64,19,Woman,2,Retired,On-line,No,1,Estate,28924,Manual,Petrol
65,53,Man,4+,"Private Sector - Manager",Agency,No,6,Sport,34010,Manual,Diesel
66,83,Man,4+,"Private Sector - Director",Agency,No,10,Sport,21559,Manual,Diesel
67,38,Woman,1,Government,On-line,Yes,7,Saloon,21245,Automatic,Petrol
68,36,Woman,2,"Public Sector - Director",Agency,Yes,7,Sport,23797,Automatic,Petrol
69,68,Man,0,Retired,Agency,No,17,Saloon,29629,Automatic,Diesel
71,35,Woman,2,Government,Agency,Yes,11,Sport,30757,Automatic,Diesel
72,51,Woman,1,Student,On-line,No,9,Saloon,24296,Manual,Diesel
74,43,Man,4+,Independant,Agency,No,16,Saloon,21687,Automatic,Petrol
