id,Gender,Salary,Marital,CheckingAccount,NumberOfSavingsAccounts,PersonalAccount,Mortgage,PensionPlan,Region,Status
13101,Female,38962.6,Single,No Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Land,0
13102,Male,39127.6,Single,No Checking Account,3,No Personal Account,Mortgage,Pension Plan 3,Land,1
13103,Male,77196.8,Married,No Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
13104,Male,41508.6,Single,No Checking Account,0,No Personal Account,Mortgage,No Pension Plan 3,City,0
13105,Female,27729.2,Married,Checking Account,3,Personal Account 60 plus,No Mortgage,No Pension Plan 3,City,0
13106,Male,73198,Married,Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,Suburban,0
13107,Male,91712.2,Single,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Suburban,0
13108,Male,44724.6,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Suburban,0
13109,Female,43968,Married,No Checking Account,1,Personal Account 60 plus,No Mortgage,Pension Plan 3,Suburban,0
13110,Male,22146,Married,Checking Account,2,No Personal Account,No Mortgage,No Pension Plan 3,Suburban,1
13111,Female,36317,Single,No Checking Account,1,Personal Account,Mortgage,Pension Plan 3,City,0
13112,Male,14608.4,Single,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,1
13113,Female,116184,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,0
13114,Female,33037.2,Married,No Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,0
13115,Female,92923,Married,Checking Account,0,Personal Account 60 plus,No Mortgage,No Pension Plan 3,Suburban,1
13116,Male,40117.4,Married,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Land,1
13117,Male,25066.4,Single,Checking Account,1,No Personal Account,Mortgage,No Pension Plan 3,City,1
13118,Male,45697,Married,No Checking Account,1,No Personal Account,No Mortgage,Pension Plan 3,Land,0
13119,Female,51398.8,Married,Checking Account,2,No Personal Account,No Mortgage,Pension Plan 3,Village,0
13120,Male,43225.2,Married,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Village,1
13121,Male,97901.8,Married,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,1
13122,Male,82876,Single,Checking Account,1,No Personal Account,No Mortgage,No Pension Plan 3,City,0
13123,Male,22822,Married,No Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,City,1
13124,Female,87881.2,Married,Checking Account,0,Personal Account 60 plus,No Mortgage,Pension Plan 3,City,1
13125,Male,34479,Single,No Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Village,0
13126,Female,60977.4,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Land,1
13127,Female,59732.6,Married,Checking Account,3,No Personal Account,No Mortgage,No Pension Plan 3,Village,1
13128,Female,64368.8,Married,No Checking Account,2,No Personal Account,No Mortgage,Pension Plan 3,City,0
13129,Female,34617.4,Married,No Checking Account,1,Personal Account,Mortgage,Pension Plan 3,City,0
13130,Male,55727.8,Single,Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,Land,1
13131,Male,57841.2,Married,Checking Account,0,No Personal Account,Mortgage,No Pension Plan 3,Village,1
13132,Female,116734.6,Married,Checking Account,1,Personal Account 60 plus,No Mortgage,Pension Plan 3,Village,0
13133,Male,33698.6,Single,Checking Account,0,Personal Account 60 plus,Mortgage,Pension Plan 3,Village,1
13134,Female,56277,Married,No Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Land,0
13135,Male,46076.4,Married,Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,City,1
13136,Male,23473.8,Single,Checking Account,2,Personal Account,Mortgage,Pension Plan 3,Village,1
13137,Male,32959,Married,No Checking Account,0,No Personal Account,Mortgage,Pension Plan 3,City,0
13138,Female,62831.4,Single,Checking Account,1,No Personal Account,Mortgage,Pension Plan 3,City,0
13139,Female,24234.6,Married,No Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Suburban,1
13140,Male,30834.2,Married,No Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,City,1
13141,Male,58829.2,Married,Checking Account,1,No Personal Account,Mortgage,No Pension Plan 3,City,0
13142,Male,89364.2,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
13143,Female,72562,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Land,1
13144,Male,66605.6,Single,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Village,0
13145,Female,31594.2,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Land,0
13146,Male,63729.6,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Land,1
13147,Female,87439,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Village,1
13148,Female,61599,Married,No Checking Account,2,Personal Account 60 plus,No Mortgage,No Pension Plan 3,Village,0
13149,Male,97943.2,Married,Checking Account,3,No Personal Account,No Mortgage,Pension Plan 3,Land,0
13150,Female,68122.8,Single,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Land,0
