KxIndex	ContractId	Age	Gender	Children	Profession	"Customer Type"	"Multiple cars"	"Driving Licence Years"	"Car category"	"Annual Kilometers"	Gearbox	Fuel	Claim	rr_Claim
1	1	55	Woman	4+	Retired	Agency	No	14	Saloon	24074	Automatic	Diesel		0.065249229627610844
2	2	58	Man	1	Unemployed	Agency	No	13	Sport	19328	Manual	Diesel		0.35617297497515316
3	3	26	Woman	4+	Independant	Agency	No	3	Sport	21141	Automatic	Diesel		0.24789953630599004
4	4	47	Woman	1	Unemployed	Agency	No	22	Estate	41040	Manual	Petrol		-0.046435635551157706
5	5	54	Woman	2	"Private Sector - Manager"	On-line	No	18	Estate	31620	Manual	Diesel		0.076225741395328978
6	6	78	Man	4+	"Public Sector - Manager"	Agency	No	18	Estate	17837	Manual	Diesel		0.47535131633423466
7	7	39	Man	2	Independant	On-line	No	21	Saloon	20065	Automatic	Diesel		0.25094805415795735
8	8	43	Woman	2	Retired	Agency	No	11	Saloon	35688	Automatic	Diesel		0.020415002812330302
9	9	51	Woman	0	"Private Sector - Employee"	Agency	Yes	20	Sport	24503	Manual	Diesel		0.32262310723909648
10	10	42	Woman	0	"Public Sector - Manager"	Agency	Yes	18	Estate	24053	Manual	Diesel		0.27739144140881028
11	11	52	Woman	1	Student	Agency	Yes	18	Estate	27859	Automatic	Diesel		0.071687871381888618
12	13	38	Man	3	"Public Sector - Director"	Agency	No	20	Sport	21000	Automatic	Diesel		0.35850669255240902
13	15	20	Woman	2	Independant	Agency	No	2	Saloon	19898	Automatic	Diesel		0.06883558235735257
14	16	36	Man	0	Independant	Agency	No	18	Sport	22955	Manual	Diesel		0.59537865124445022
15	17	46	Man	2	Independant	On-line	No	7	Saloon	18803	Manual	Petrol		0.030032935175767397
16	18	43	Man	0	"Private Sector - Employee"	Agency	Yes	13	Saloon	21278	Automatic	Diesel		0.23700495399198079
17	22	73	Man	4+	"Private Sector - Director"	Agency	No	19	Estate	23840	Automatic	Petrol		0.099809182058714571
18	24	72	Man	1	"Public Sector - Director"	Agency	No	15	Sport	19236	Manual	Petrol		0.16408509632562257
19	25	51	Man	2	Retired	Agency	No	17	Saloon	52001	Automatic	Petrol		0.031386888693159712
20	26	26	Man	1	"Private Sector - Employee"	On-line	No	8	Saloon	14524	Automatic	Petrol		0.01467543573518526
21	27	54	Woman	0	Government	Agency	No	9	Sport	25546	Manual	Diesel		0.36262694375535648
22	29	26	Man	2	Independant	Agency	No	8	Saloon	21365	Automatic	Petrol		0.1207355644721896
23	31	70	Woman	4+	"Public Sector - Manager"	Agency	No	21	Sport	26608	Manual	Diesel		0.36931100958331214
24	32	57	Man	4+	"Private Sector - Employee"	On-line	No	14	Saloon	37656	Automatic	Diesel		0.10377954021265144
25	33	38	Woman	2	Student	Agency	No	11	Sport	19971	Automatic	Diesel		0.25998107650755881
26	34	47	Man	2	"Private Sector - Manager"	On-line	No	12	Estate	20428	Manual	Petrol		0.094017352245820626
27	35	55	Man	0	Independant	On-line	Yes	8	Estate	40589	Automatic	Diesel		0.27048867219427369
28	36	54	Woman	1	"Private Sector - Director"	Agency	No	15	Estate	9710	Manual	Diesel		0.024220453611049159
29	37	53	Man	2	Independant	Agency	Yes	5	Sport	26288	Manual	Petrol		0.23519779467117491
30	38	83	Man	4+	Independant	Agency	No	13	Estate	33856	Automatic	Diesel		0.37696390399878038
31	39	25	Man	4+	"Private Sector - Director"	Agency	No	7	Saloon	13183	Automatic	Diesel		0.19793271702057053
32	40	56	Man	1	Independant	Agency	No	14	Saloon	17741	Automatic	Diesel		0.14341921833113858
33	41	54	Woman	2	"Public Sector - Director"	Agency	No	19	Sport	48351	Automatic	Diesel		0.078868691825436654
34	42	78	Man	0	Student	On-line	Yes	19	Saloon	37625	Automatic	Diesel		0.53544625593366757
35	43	59	Man	2	"Private Sector - Employee"	On-line	Yes	19	Estate	16191	Manual	Petrol		-0.020988082779829477
36	44	75	Man	4+	"Public Sector - Employee"	Agency	Yes	4	Saloon	18688	Automatic	Diesel		0.22038417733694954
37	45	40	Man	4+	"Private Sector - Employee"	Agency	No	16	Saloon	34814	Automatic	Diesel		0.18493226278211627
38	46	21	Woman	2	Unemployed	Agency	Yes	3	Saloon	39791	Automatic	Petrol		-0.016560185892916898
39	48	66	Woman	0	Retired	Agency	Yes	18	Estate	26830	Automatic	Diesel		0.22914089267753446
40	49	25	Woman	1	"Public Sector - Director"	Agency	No	7	Estate	25235	Automatic	Diesel		0.020549320879197142
41	50	55	Woman	4+	Student	Agency	Yes	14	Sport	30189	Automatic	Petrol		0.14177513754276572
42	51	53	Man	1	Student	On-line	No	12	Saloon	35683	Automatic	Diesel		0.18369443174666289
43	53	55	Man	1	Student	Agency	Yes	21	Saloon	18550	Manual	Diesel		0.1534541096575586
44	55	20	Man	1	"Private Sector - Director"	On-line	No	2	Saloon	16763	Automatic	Diesel		0.19529408400698783
45	56	36	Man	1	Independant	On-line	No	7	Estate	21494	Automatic	Petrol		0.11045528798094413
46	57	27	Woman	2	Retired	Agency	No	9	Estate	20177	Manual	Petrol		-0.0078115299515587877
